Time,Open,High,Low,Close,Volume
2022.06.20 14:00,94.259,94.356,94.220,94.292,4947.000
2022.06.20 13:00,94.252,94.358,94.168,94.258,4748.000
2022.06.20 12:00,94.102,94.296,94.082,94.252,5162.000
2022.06.20 11:00,93.992,94.178,93.960,94.101,5810.000
2022.06.20 10:00,94.030,94.126,93.789,93.994,8581.000
2022.06.20 09:00,94.077,94.132,93.897,94.030,6428.000
2022.06.20 08:00,93.918,94.078,93.771,94.078,6030.000
2022.06.20 07:00,93.784,94.002,93.771,93.910,4788.000
2022.06.20 06:00,93.649,93.890,93.643,93.783,6768.000
2022.06.20 05:00,93.470,93.738,93.382,93.652,8453.000
2022.06.20 04:00,93.917,93.983,93.424,93.471,8697.000
2022.06.20 03:00,94.042,94.122,93.816,93.918,7701.000
2022.06.20 02:00,93.866,94.170,93.801,94.040,4498.000
2022.06.20 01:00,93.602,93.880,93.514,93.862,3641.000
2022.06.20 00:00,93.404,93.636,93.303,93.585,469.000
2022.06.17 23:00,93.565,93.625,93.532,93.576,2426.000
2022.06.17 22:00,93.533,93.672,93.533,93.565,3854.000
2022.06.17 21:00,93.559,93.688,93.528,93.533,6332.000
2022.06.17 20:00,93.586,93.698,93.484,93.556,7669.000
2022.06.17 19:00,93.558,93.606,93.414,93.588,7292.000
2022.06.17 18:00,93.416,93.657,93.337,93.555,8931.000
2022.06.17 17:00,93.758,93.766,93.349,93.419,10878.000
2022.06.17 16:00,93.918,93.936,93.618,93.756,9278.000
2022.06.17 15:00,94.010,94.073,93.848,93.919,8205.000
2022.06.17 14:00,94.246,94.247,93.914,94.010,7597.000
2022.06.17 13:00,94.269,94.346,94.130,94.248,7171.000
2022.06.17 12:00,94.060,94.393,94.023,94.272,7808.000
2022.06.17 11:00,93.901,94.164,93.830,94.062,8151.000
2022.06.17 10:00,93.755,94.021,93.574,93.904,9223.000
2022.06.17 09:00,94.036,94.066,93.532,93.759,8393.000
2022.06.17 08:00,93.937,94.166,93.937,94.035,5834.000
2022.06.17 07:00,94.161,94.227,93.868,93.942,5999.000
2022.06.17 06:00,93.918,94.263,93.796,94.162,7665.000
2022.06.17 05:00,93.710,94.566,93.004,93.921,8215.000
2022.06.17 04:00,93.513,93.804,93.436,93.710,8660.000
2022.06.17 03:00,93.222,93.556,93.010,93.511,9856.000
2022.06.17 02:00,93.412,93.462,93.203,93.222,5470.000
2022.06.17 01:00,93.262,93.544,93.214,93.421,3879.000
2022.06.17 00:00,93.087,93.264,93.087,93.254,564.000
2022.06.16 23:00,93.172,93.206,93.071,93.164,3955.000
2022.06.16 22:00,93.195,93.268,93.046,93.171,7977.000
2022.06.16 21:00,93.184,93.387,92.997,93.195,7415.000
2022.06.16 20:00,92.791,93.350,92.705,93.184,8845.000
2022.06.16 19:00,92.139,92.918,92.106,92.788,9718.000
2022.06.16 18:00,92.246,92.491,91.962,92.140,9771.000
2022.06.16 17:00,92.512,92.561,92.234,92.249,10403.000
2022.06.16 16:00,92.681,92.714,92.437,92.509,9462.000
2022.06.16 15:00,92.334,92.731,92.308,92.681,9122.000
2022.06.16 14:00,92.636,92.745,92.288,92.333,10466.000
2022.06.16 13:00,92.639,92.940,92.551,92.637,8764.000
2022.06.16 12:00,92.831,92.833,92.330,92.639,7808.000
2022.06.16 11:00,93.553,93.674,93.082,93.092,9623.000
2022.06.16 10:00,93.873,93.891,93.337,93.553,9980.000
2022.06.16 09:00,93.920,94.075,93.796,93.882,7055.000
2022.06.16 08:00,94.239,94.245,93.902,93.920,5482.000
2022.06.16 07:00,94.213,94.333,94.134,94.242,4260.000
2022.06.16 06:00,94.454,94.459,94.149,94.211,4102.000
2022.06.16 05:00,94.315,94.540,94.304,94.450,4666.000
2022.06.16 04:00,94.208,94.502,94.204,94.313,6779.000
2022.06.16 03:00,94.070,94.341,94.035,94.210,6042.000
2022.06.16 02:00,93.929,94.124,93.804,94.065,4899.000
2022.06.16 01:00,93.778,94.037,93.744,93.920,3219.000
2022.06.16 00:00,93.704,93.788,93.617,93.778,1247.000
2022.06.15 23:00,93.674,93.736,93.568,93.719,4624.000
2022.06.15 22:00,93.595,93.931,93.578,93.677,10107.000
2022.06.15 21:00,93.489,93.899,93.208,93.591,11657.000
2022.06.15 20:00,93.413,93.515,93.360,93.492,4954.000
2022.06.15 19:00,93.422,93.560,93.403,93.413,4531.000
2022.06.15 18:00,93.389,93.508,93.316,93.424,6511.000
2022.06.15 17:00,93.483,93.621,93.362,93.389,7661.000
2022.06.15 16:00,93.327,93.516,93.273,93.486,7679.000
2022.06.15 15:00,93.420,93.472,93.226,93.328,8001.000
2022.06.15 14:00,93.231,93.507,93.230,93.419,6271.000
2022.06.15 13:00,93.258,93.307,93.202,93.235,5926.000
2022.06.15 12:00,93.267,93.300,93.168,93.256,6221.000
2022.06.15 11:00,93.042,93.378,93.031,93.270,7054.000
2022.06.15 10:00,93.021,93.152,92.945,93.043,8235.000
2022.06.15 09:00,93.012,93.135,92.965,93.018,7911.000
2022.06.15 08:00,93.190,93.282,92.943,93.011,6582.000
2022.06.15 07:00,93.323,93.332,93.104,93.190,4153.000
2022.06.15 06:00,93.427,93.447,93.275,93.323,4482.000
2022.06.15 05:00,93.473,93.549,93.363,93.427,5969.000
2022.06.15 04:00,93.182,93.507,93.138,93.472,7159.000
2022.06.15 03:00,93.173,93.207,92.972,93.183,6602.000
2022.06.15 02:00,93.218,93.243,93.021,93.171,4232.000
2022.06.15 01:00,93.198,93.231,93.059,93.210,2971.000
2022.06.15 00:00,93.032,93.220,92.868,93.194,2073.000
2022.06.14 23:00,92.801,93.095,92.763,93.095,3006.000
2022.06.14 22:00,92.821,92.900,92.716,92.800,7367.000
2022.06.14 21:00,92.710,92.803,92.641,92.803,6405.000
2022.06.14 20:00,92.730,92.876,92.589,92.707,6404.000
2022.06.14 19:00,92.921,92.921,92.600,92.732,6721.000
2022.06.14 18:00,92.673,92.978,92.655,92.923,8419.000
2022.06.14 17:00,92.656,92.792,92.446,92.676,8513.000
2022.06.14 16:00,92.891,92.930,92.426,92.656,8681.000
2022.06.14 15:00,92.585,92.979,92.581,92.893,7999.000
2022.06.14 14:00,92.578,92.727,92.532,92.582,6911.000
2022.06.14 13:00,92.937,92.949,92.472,92.577,7003.000
2022.06.14 12:00,93.024,93.171,92.913,92.937,6677.000
2022.06.14 11:00,93.436,93.449,92.912,93.025,7669.000
2022.06.14 10:00,93.717,93.717,93.364,93.436,8250.000
2022.06.14 09:00,93.777,93.821,93.598,93.722,7454.000
2022.06.14 08:00,93.542,93.799,93.525,93.779,5971.000
2022.06.14 07:00,93.607,93.898,93.424,93.542,6174.000
2022.06.14 06:00,93.235,93.697,93.178,93.607,7001.000
2022.06.14 05:00,93.071,93.374,93.061,93.235,6394.000
2022.06.14 04:00,93.188,93.242,93.001,93.071,8271.000
2022.06.14 03:00,93.161,93.202,93.004,93.186,7676.000
2022.06.14 02:00,93.129,93.188,93.056,93.168,2649.000
2022.06.14 01:00,93.116,93.221,93.110,93.130,2140.000
2022.06.14 00:00,92.988,93.123,92.980,93.113,1070.000
2022.06.13 23:00,92.996,93.120,92.956,93.093,3526.000
2022.06.13 22:00,93.055,93.308,92.951,92.993,8438.000
2022.06.13 21:00,93.202,93.204,93.002,93.056,6585.000
2022.06.13 20:00,93.100,93.285,93.033,93.202,4969.000
2022.06.13 19:00,93.136,93.407,93.064,93.100,7219.000
2022.06.13 18:00,92.715,93.203,92.689,93.134,8576.000
2022.06.13 17:00,93.062,93.275,92.618,92.717,8813.000
2022.06.13 16:00,93.615,93.636,92.997,93.062,9075.000
2022.06.13 15:00,93.628,93.724,93.564,93.614,8826.000
2022.06.13 14:00,93.688,93.771,93.560,93.629,5609.000
2022.06.13 13:00,93.707,93.884,93.682,93.688,5565.000
2022.06.13 12:00,93.847,93.907,93.701,93.709,5992.000
2022.06.13 11:00,94.198,94.228,93.757,93.847,7937.000
2022.06.13 10:00,94.473,94.623,94.195,94.195,8379.000
2022.06.13 09:00,94.816,94.819,94.444,94.472,7707.000
2022.06.13 08:00,94.796,94.885,94.683,94.816,5759.000
2022.06.13 07:00,94.790,94.980,94.717,94.796,5499.000
2022.06.13 06:00,94.608,94.799,94.600,94.789,4698.000
2022.06.13 05:00,94.493,94.650,94.442,94.607,6140.000
2022.06.13 04:00,94.636,94.667,94.391,94.495,7415.000
2022.06.13 03:00,94.617,94.702,94.544,94.636,5783.000
2022.06.13 02:00,94.676,94.730,94.550,94.617,4208.000
2022.06.13 01:00,94.632,94.766,94.437,94.676,3193.000
2022.06.13 00:00,94.564,94.735,94.527,94.618,285.000
2022.06.10 23:00,94.762,94.781,94.608,94.620,1912.000
2022.06.10 22:00,94.771,94.909,94.739,94.760,4793.000
2022.06.10 21:00,94.655,94.794,94.613,94.775,4889.000
2022.06.10 20:00,94.640,94.770,94.574,94.656,5772.000
2022.06.10 19:00,94.642,94.677,94.508,94.641,5665.000
2022.06.10 18:00,94.602,94.698,94.432,94.642,7268.000
2022.06.10 17:00,94.857,94.857,94.321,94.601,10000.000
2022.06.10 16:00,94.733,94.967,94.649,94.856,10986.000
2022.06.10 15:00,95.311,95.537,94.692,94.732,9433.000
2022.06.10 14:00,95.278,95.374,95.222,95.311,5237.000
2022.06.10 13:00,95.284,95.360,95.219,95.277,5284.000
2022.06.10 12:00,95.452,95.498,95.191,95.282,5754.000
2022.06.10 11:00,95.195,95.490,95.179,95.453,6229.000
2022.06.10 10:00,95.282,95.409,95.041,95.193,8430.000
2022.06.10 09:00,95.208,95.424,95.152,95.283,6500.000
2022.06.10 08:00,95.273,95.282,95.019,95.208,5819.000
2022.06.10 07:00,95.223,95.288,95.158,95.273,2784.000
2022.06.10 06:00,95.219,95.303,95.168,95.223,4160.000
2022.06.10 05:00,95.289,95.350,95.071,95.218,5236.000
2022.06.10 04:00,95.131,95.319,95.052,95.290,5894.000
2022.06.10 03:00,95.382,95.390,94.993,95.130,6364.000
2022.06.10 02:00,95.428,95.490,95.377,95.382,2318.000
2022.06.10 01:00,95.394,95.447,95.372,95.428,1495.000
2022.06.10 00:00,95.368,95.408,95.304,95.390,1150.000
2022.06.09 23:00,95.388,95.421,95.339,95.357,2406.000
2022.06.09 22:00,95.406,95.412,95.314,95.389,5080.000
2022.06.09 21:00,95.465,95.519,95.401,95.406,5345.000
2022.06.09 20:00,95.525,95.585,95.310,95.465,4916.000
2022.06.09 19:00,95.455,95.536,95.351,95.525,5639.000
2022.06.09 18:00,95.645,95.654,95.380,95.457,7840.000
2022.06.09 17:00,95.558,95.682,95.294,95.647,9315.000
2022.06.09 16:00,95.759,95.854,95.346,95.559,10186.000
2022.06.09 15:00,95.944,96.082,95.669,95.757,9847.000
2022.06.09 14:00,95.734,96.008,95.656,95.942,7425.000
2022.06.09 13:00,95.862,95.926,95.680,95.736,5497.000
2022.06.09 12:00,96.085,96.108,95.813,95.862,4410.000
2022.06.09 11:00,95.665,96.164,95.563,96.084,6167.000
2022.06.09 10:00,96.072,96.121,95.616,95.666,7857.000
2022.06.09 09:00,95.983,96.110,95.903,96.072,5603.000
2022.06.09 08:00,96.356,96.390,95.869,95.982,4937.000
2022.06.09 07:00,96.174,96.379,96.164,96.356,3259.000
2022.06.09 06:00,96.333,96.397,96.146,96.175,4541.000
2022.06.09 05:00,96.261,96.392,96.209,96.335,4899.000
2022.06.09 04:00,96.416,96.456,96.190,96.262,6033.000
2022.06.09 03:00,96.621,96.701,96.413,96.421,5754.000
2022.06.09 02:00,96.637,96.773,96.585,96.621,3184.000
2022.06.09 01:00,96.514,96.663,96.501,96.637,2090.000
2022.06.09 00:00,96.475,96.548,96.435,96.520,4339.000
2022.06.08 23:00,96.580,96.606,96.522,96.522,1711.000
2022.06.08 22:00,96.512,96.631,96.388,96.582,3525.000
2022.06.08 21:00,96.489,96.549,96.404,96.511,4759.000
2022.06.08 20:00,96.605,96.624,96.319,96.487,4490.000
2022.06.08 19:00,96.777,96.852,96.456,96.604,5464.000
2022.06.08 18:00,96.497,96.799,96.423,96.775,6498.000
2022.06.08 17:00,96.781,96.872,96.325,96.498,9218.000
2022.06.08 16:00,96.723,96.880,96.643,96.782,8316.000
2022.06.08 15:00,96.485,96.779,96.412,96.723,7413.000
2022.06.08 14:00,96.364,96.584,96.274,96.485,6048.000
2022.06.08 13:00,96.116,96.461,96.094,96.364,4920.000
2022.06.08 12:00,96.102,96.168,95.994,96.116,5036.000
2022.06.08 11:00,96.096,96.134,95.994,96.102,6388.000
